feature,label,contribution
PctPopUnderPov,C,-0.11104237288236618
PctPopUnderPov,A,0.6362307667732239
PctPopUnderPov,B,-0.7207773327827454
PctPopUnderPov,D,-0.3482873737812042
PctPopUnderPov,E,0.08554786443710327
PctPopUnderPov,Z,0.17053304612636566
MedRentPctHousInc,C,-0.42578554153442383
MedRentPctHousInc,A,-0.12811975181102753
MedRentPctHousInc,B,-0.8844160437583923
MedRentPctHousInc,D,0.021848425269126892
MedRentPctHousInc,E,-0.3380309045314789
MedRentPctHousInc,Z,0.13606758415699005
PctEmplProfServ,C,0.3292607367038727
PctEmplProfServ,A,-0.1067480519413948
PctEmplProfServ,B,-0.615368127822876
PctEmplProfServ,D,-0.04252869263291359
PctEmplProfServ,E,0.2797655165195465
PctEmplProfServ,Z,0.004318005405366421
agePct12t21,C,0.0054723653011024
agePct12t21,A,0.05085448920726776
agePct12t21,B,-0.9873430132865906
agePct12t21,D,-0.10378246754407883
agePct12t21,E,0.14525018632411957
agePct12t21,Z,-0.12377645075321198
agePct16t24,C,0.04839744046330452
agePct16t24,A,-0.01395893469452858
agePct16t24,B,-0.6995861530303955
agePct16t24,D,0.01960662566125393
agePct16t24,E,0.1246829479932785
agePct16t24,Z,0.1130480170249939
MalePctNevMarr,C,-0.009571203030645847
MalePctNevMarr,A,0.16251088678836823
MalePctNevMarr,B,-1.0
MalePctNevMarr,D,0.2144252508878708
MalePctNevMarr,E,0.32728999853134155
MalePctNevMarr,Z,0.07089821994304657
agePct12t29,C,-0.04398750513792038
agePct12t29,A,0.051675945520401
agePct12t29,B,-0.8221374750137329
agePct12t29,D,0.020347222685813904
agePct12t29,E,0.3694867193698883
agePct12t29,Z,-0.0033345120027661324
PctImmigRec5,C,-0.025569219142198563
PctImmigRec5,A,-0.2877063751220703
PctImmigRec5,B,-0.4321233630180359
PctImmigRec5,D,0.13358889520168304
PctImmigRec5,E,0.13105043768882751
PctImmigRec5,Z,0.02296111173927784
PctImmigRecent,C,0.012513769790530205
PctImmigRecent,A,-0.21930423378944397
PctImmigRecent,B,-0.49486613273620605
PctImmigRecent,D,0.020964229479432106
PctImmigRecent,E,0.06866542249917984
PctImmigRecent,Z,0.023382289335131645
PctImmigRec8,C,-0.01902668923139572
PctImmigRec8,A,-0.2823684811592102
PctImmigRec8,B,-0.40857574343681335
PctImmigRec8,D,-0.0381934717297554
PctImmigRec8,E,0.1772431880235672
PctImmigRec8,Z,0.0007418192108161747
PctImmigRec10,C,-0.02960529923439026
PctImmigRec10,A,-0.2897462546825409
PctImmigRec10,B,-0.30978578329086304
PctImmigRec10,D,-0.02837328612804413
PctImmigRec10,E,0.17917634546756744
PctImmigRec10,Z,-0.02699999138712883
pctWWage,C,0.021805385127663612
pctWWage,A,-0.4698011577129364
pctWWage,B,-0.03782067075371742
pctWWage,D,0.1809895634651184
pctWWage,E,0.7102009057998657
pctWWage,Z,0.14620883762836456
PctKids2Par,C,-0.01026808563619852
PctKids2Par,A,-0.27526161074638367
PctKids2Par,B,-0.08934278786182404
PctKids2Par,D,0.23637200891971588
PctKids2Par,E,0.17273224890232086
PctKids2Par,Z,-0.03868319094181061
PctBSorMore,C,0.28259608149528503
PctBSorMore,A,-0.5478024482727051
PctBSorMore,B,-0.49582812190055847
PctBSorMore,D,0.4550188183784485
PctBSorMore,E,0.20465517044067383
PctBSorMore,Z,-0.2589709758758545
assaults,C,0.11719222366809845
assaults,A,-0.10790767520666122
assaults,B,0.0159266609698534
assaults,D,0.0814637765288353
assaults,E,0.0653148740530014
assaults,Z,-0.0043082330375909805
PctOccupMgmtProf,C,0.24724698066711426
PctOccupMgmtProf,A,-0.4700199067592621
PctOccupMgmtProf,B,-0.1054610013961792
PctOccupMgmtProf,D,-0.20069317519664764
PctOccupMgmtProf,E,0.2844344675540924
PctOccupMgmtProf,Z,-0.1446613371372223
pctWFarmSelf,C,0.0798502117395401
pctWFarmSelf,A,-0.3419824242591858
pctWFarmSelf,B,-0.27454811334609985
pctWFarmSelf,D,-0.05986111983656883
pctWFarmSelf,E,0.19123575091362
pctWFarmSelf,Z,-0.2029784768819809
racePctWhite,C,0.4145548343658447
racePctWhite,A,-0.7704579830169678
racePctWhite,B,-0.25777095556259155
racePctWhite,D,0.05916718393564224
racePctWhite,E,-0.09754466265439987
racePctWhite,Z,-0.3084702789783478
pctWInvInc,C,0.31746649742126465
pctWInvInc,A,-0.6435115337371826
pctWInvInc,B,-0.2548786401748657
pctWInvInc,D,-0.0671270415186882
pctWInvInc,E,-0.30451518297195435
pctWInvInc,Z,0.043680451810359955
RentQrange,C,0.026166759431362152
RentQrange,A,-0.17895933985710144
RentQrange,B,-0.009242948144674301
RentQrange,D,-0.10233768820762634
RentQrange,E,-0.029144780710339546
RentQrange,Z,0.11408128589391708
medFamInc,C,0.162300243973732
medFamInc,A,-0.31638938188552856
medFamInc,B,0.04793195053935051
medFamInc,D,-0.1812177300453186
medFamInc,E,0.08591723442077637
medFamInc,Z,0.1300245076417923
medIncome,C,0.08495103567838669
medIncome,A,-0.3631453216075897
medIncome,B,0.277192622423172
medIncome,D,-0.4122841954231262
medIncome,E,0.04568369314074516
medIncome,Z,0.16798362135887146
whitePerCap,C,0.25399500131607056
whitePerCap,A,-0.42278817296028137
whitePerCap,B,0.27001771330833435
whitePerCap,D,-0.198271706700325
whitePerCap,E,-0.1176108568906784
whitePerCap,Z,0.04459001496434212
perCapInc,C,0.21859189867973328
perCapInc,A,-0.5796101689338684
perCapInc,B,0.20402385294437408
perCapInc,D,-0.1383465826511383
perCapInc,E,-0.12790676951408386
perCapInc,Z,0.05596864968538284
PctPersOwnOccup,C,0.09852934628725052
PctPersOwnOccup,A,-0.452228844165802
PctPersOwnOccup,B,0.24220803380012512
PctPersOwnOccup,D,-0.05251270532608032
PctPersOwnOccup,E,-0.3998549282550812
PctPersOwnOccup,Z,0.14873601496219635
PctHousOwnOcc,C,0.023640956729650497
PctHousOwnOcc,A,-0.4790484309196472
PctHousOwnOcc,B,0.24827483296394348
PctHousOwnOcc,D,-0.15929457545280457
PctHousOwnOcc,E,-0.5293802618980408
PctHousOwnOcc,Z,0.11245300620794296
MedYrHousBuilt,C,-0.25992920994758606
MedYrHousBuilt,A,-0.7726125717163086
MedYrHousBuilt,B,-0.09119608253240585
MedYrHousBuilt,D,0.2617986798286438
MedYrHousBuilt,E,-0.8037020564079285
MedYrHousBuilt,Z,-0.13593341410160065
fold,C,-0.0163738951086998
fold,A,-0.16568171977996826
fold,B,-0.016875501722097397
fold,D,-0.019484205171465874
fold,E,-0.0421173982322216
fold,Z,-0.02400343120098114
MedOwnCostPctInc,C,-0.31397315859794617
MedOwnCostPctInc,A,-0.6469920873641968
MedOwnCostPctInc,B,0.22801555693149567
MedOwnCostPctInc,D,-0.1606845110654831
MedOwnCostPctInc,E,-0.32190173864364624
MedOwnCostPctInc,Z,-0.11755608767271042
racePctHisp,C,-0.4931263029575348
racePctHisp,A,-0.7725198268890381
racePctHisp,B,0.21039363741874695
racePctHisp,D,-0.003127886913716793
racePctHisp,E,0.032572969794273376
racePctHisp,Z,0.44615280628204346
PctNotSpeakEnglWell,C,-0.3992263674736023
PctNotSpeakEnglWell,A,-0.727784276008606
PctNotSpeakEnglWell,B,0.1844659149646759
PctNotSpeakEnglWell,D,0.16092044115066528
PctNotSpeakEnglWell,E,0.07157547026872635
PctNotSpeakEnglWell,Z,0.2626090943813324
MedRent,C,-0.14421601593494415
MedRent,A,-0.5401931405067444
MedRent,B,0.14781473577022552
MedRent,D,0.2203560471534729
MedRent,E,-0.15242095291614532
MedRent,Z,0.0878414586186409
RentMedian,C,-0.20492039620876312
RentMedian,A,-0.5528209805488586
RentMedian,B,0.11565162241458893
RentMedian,D,0.20615442097187042
RentMedian,E,-0.10825604945421219
RentMedian,Z,0.1408350020647049
RentLowQ,C,-0.2784629464149475
RentLowQ,A,-0.5509694814682007
RentLowQ,B,0.11963264644145966
RentLowQ,D,0.05318593233823776
RentLowQ,E,-0.1632843315601349
RentLowQ,Z,0.12070026993751526
RentHighQ,C,-0.18410645425319672
RentHighQ,A,-0.5377481579780579
RentHighQ,B,0.08226224780082703
RentHighQ,D,-0.0001265214232262224
RentHighQ,E,-0.132450133562088
RentHighQ,Z,0.1358800083398819
PctRecImmig5,C,-0.44824185967445374
PctRecImmig5,A,-0.6524021625518799
PctRecImmig5,B,-0.0614260770380497
PctRecImmig5,D,0.01514339167624712
PctRecImmig5,E,-0.019276967272162437
PctRecImmig5,Z,0.03713744506239891
PctRecImmig8,C,-0.42114174365997314
PctRecImmig8,A,-0.6381222605705261
PctRecImmig8,B,-0.014914031140506268
PctRecImmig8,D,-0.07375533878803253
PctRecImmig8,E,-0.04694284126162529
PctRecImmig8,Z,0.035730767995119095
PctRecImmig10,C,-0.40241479873657227
PctRecImmig10,A,-0.654248058795929
PctRecImmig10,B,0.02942938543856144
PctRecImmig10,D,-0.0028513502329587936
PctRecImmig10,E,-0.07525695115327835
PctRecImmig10,Z,0.04389895126223564
PctForeignBorn,C,-0.5218570828437805
PctForeignBorn,A,-0.8289735317230225
PctForeignBorn,B,0.08497034013271332
PctForeignBorn,D,-0.1239929124712944
PctForeignBorn,E,-0.21612101793289185
PctForeignBorn,Z,-0.020610356703400612
PersPerOccupHous,C,-0.6266050934791565
PersPerOccupHous,A,-0.6934289932250977
PersPerOccupHous,B,0.3289574682712555
PersPerOccupHous,D,-0.1614288091659546
PersPerOccupHous,E,0.06582579016685486
PersPerOccupHous,Z,-0.03351837396621704
OwnOccQrange,C,-0.25927186012268066
OwnOccQrange,A,-0.3134302794933319
OwnOccQrange,B,0.14778366684913635
OwnOccQrange,D,-0.024601226672530174
OwnOccQrange,E,-0.004389643669128418
OwnOccQrange,Z,-0.06122113764286041
PersPerOwnOccHous,C,-0.5087677240371704
PersPerOwnOccHous,A,-0.7379150390625
PersPerOwnOccHous,B,0.25641873478889465
PersPerOwnOccHous,D,-0.03492828458547592
PersPerOwnOccHous,E,0.1502462923526764
PersPerOwnOccHous,Z,-0.08935021609067917
PctRecentImmig,C,-0.4628813564777374
PctRecentImmig,A,-0.6232323050498962
PctRecentImmig,B,-0.13952818512916565
PctRecentImmig,D,0.13430581986904144
PctRecentImmig,E,0.015796273946762085
PctRecentImmig,Z,-0.008705727756023407
householdsize,C,-0.5709751844406128
householdsize,A,-0.6220945715904236
householdsize,B,-0.23979079723358154
householdsize,D,-0.09673195332288742
householdsize,E,0.09454548358917236
householdsize,Z,-0.06134222075343132
PctYoungKids2Par,C,-0.15650604665279388
PctYoungKids2Par,A,-0.2829527258872986
PctYoungKids2Par,B,-0.12167993187904358
PctYoungKids2Par,D,-0.03341546654701233
PctYoungKids2Par,E,0.010539470240473747
PctYoungKids2Par,Z,0.08527542650699615
PctTeen2Par,C,-0.2431633025407791
PctTeen2Par,A,-0.4433520436286926
PctTeen2Par,B,-0.022969549521803856
PctTeen2Par,D,-0.10842659324407578
PctTeen2Par,E,0.09501712769269943
PctTeen2Par,Z,0.09815464168787003
PctPersDenseHous,C,-0.5171168446540833
PctPersDenseHous,A,-0.3535688519477844
PctPersDenseHous,B,0.12356285005807877
PctPersDenseHous,D,0.33082374930381775
PctPersDenseHous,E,-0.08098573982715607
PctPersDenseHous,Z,0.7564305067062378
PctLargHouseFam,C,-0.5166676640510559
PctLargHouseFam,A,-0.17147196829319
PctLargHouseFam,B,0.2507134675979614
PctLargHouseFam,D,0.014592833817005157
PctLargHouseFam,E,-0.08388485014438629
PctLargHouseFam,Z,-0.9960845708847046
PctLargHouseOccup,C,-0.5554533004760742
PctLargHouseOccup,A,-0.27693313360214233
PctLargHouseOccup,B,0.20152083039283752
PctLargHouseOccup,D,0.10584104806184769
PctLargHouseOccup,E,-0.1547812521457672
PctLargHouseOccup,Z,-1.0
PersPerRentOccHous,C,-0.534040629863739
